,loja,data,venda,loja_web,index,c_br,c_uy,s_al,s_am,s_ap,s_ba,s_ce,s_df,s_es,s_ex,s_go,s_ma,s_mg,s_ms,s_mt,s_pa,s_pb,s_pe,s_pi,s_pr,s_rj,s_rn,s_ro,s_rr,s_rs,s_sc,s_se,s_sp,s_to,week_of_year,year,store_avg,store_std,holiday,forecast
50,renner_br_al_25,2022-05-15,134,0,25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2022,185.5890909090909,120.96133434327204,1,175.42023
51,renner_br_al_25,2022-05-22,115,0,25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2022,185.5890909090909,120.96133434327204,0,174.70992
52,renner_br_al_25,2022-05-29,124,0,25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2022,185.5890909090909,120.96133434327204,0,188.3046
53,renner_br_al_34,2022-04-10,146,0,34,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,131.56363636363636,86.30517142365125,0,113.04542
54,renner_br_al_34,2022-04-17,156,0,34,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,131.56363636363636,86.30517142365125,1,116.71152
55,renner_br_al_34,2022-04-24,76,0,34,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2022,131.56363636363636,86.30517142365125,1,118.031944
56,renner_br_al_34,2022-05-01,153,0,34,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2022,131.56363636363636,86.30517142365125,1,129.45534
57,renner_br_al_34,2022-05-08,117,0,34,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,131.56363636363636,86.30517142365125,0,127.49103
58,renner_br_al_34,2022-05-15,87,0,34,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2022,131.56363636363636,86.30517142365125,1,128.59068
59,renner_br_al_34,2022-05-22,68,0,34,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2022,131.56363636363636,86.30517142365125,0,127.05065
60,renner_br_al_34,2022-05-29,74,0,34,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2022,131.56363636363636,86.30517142365125,0,134.03737
